GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Very High Degradation (<10%) (ha),High Degradation (10%-40%) (ha),Moderate Degradation (40%-70%) (ha),Low Degradation (>70%) (ha),Total_FDS_Area (ha)
Village Council,Harefkator,377.643132496,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2020,6.56,43.05,72.47,110.61,232.69
Village Council,Kambukcherra,376.34778931,West Tripura,Mohanpur,Subalsing,Kambukcherra,Surendranagar,2020,0.41,11.01,52.2,113.82,177.44
Village Council,Arunjoy,1665.22673736,Khowai,Khowai,Padmabil,Paglabari,Mare Haduk,2020,112.93,501.63,414.55,157.08,1186.19
Village Council,South Gayamani,563.503000547,Khowai,Khowai,Padmabil,Hazaribari,South Ram Chandra Ghat,2020,26.73,155.79,145.4,62.73,390.65
Village Council,Kwswrang,406.257020173,West Tripura,Mohanpur,Subalsing,Subalsing,Kamukcherra,2020,0.36,17.93,89.48,87.19,194.96
Village Council,North Gayamani,358.945545363,Khowai,Khowai,Padmabil,Hazaribari,Gayamanibari,2020,11.98,58.4,99.32,61.52,231.22
Village Council,Krishna Debbarma,392.667596441,Khowai,Khowai,Padmabil,R C Ghat,Upendranagar,2020,51.68,140.63,90.74,22.77,305.82
,Bairagi Para,459.106256159,Unakoti,Kumarghat,Machmara,Krishnatilla,,2020,2.21,55.49,119.16,80.49,257.35
Village Council,Umanjoy Para,1324.37231452,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2020,4.88,100.28,268.95,314.1,688.21
Village Council,B.C. Para,1039.78090102,West Tripura,Mohanpur,Subalsing,Subalsing,Baikunthapur,2020,15.75,78.0,195.91,272.25,561.91
Village Council,Dhaniram Debbarma,505.067098395,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2020,28.14,157.76,119.66,62.62,368.18
Gram Panchayet,Upendra,1302.6261251,Khowai,Khowai,Padmabil,R C Ghat,North Ramchandra Ghat,2020,129.05,431.76,295.61,165.97,1022.39
Village Council,Bhupendra Debbarma,921.465964168,Khowai,Khowai,Padmabil,Hazaribari,South Padmabil,2020,35.37,258.8,333.24,49.07,676.48
Village Council,Samung Kaham Bodal,155.779215699,Khowai,Khowai,Tulashikhar,Champahour,Takchayabari,2020,13.87,36.9,34.56,26.0,111.33
Village Council,Ganthalwng,121.722663917,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2020,2.35,19.07,26.59,26.83,74.84
Village Council,Pirkha,443.786947248,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Bharat Chowdhury,2020,1.6,33.41,93.12,112.42,240.55
Village Council,Tentuikhar,330.64255645,West Tripura,Mohanpur,Subalsing,Ramsankarapara,Sankhola,2020,1.96,25.2,76.16,78.97,182.29
Village Council,Thancha,1315.43989949,Khowai,Khowai,Tulashikhar,Gopalnagar,East Champacherra,2020,39.02,184.28,164.5,446.83,834.63
Village Council,Mathura Para,1136.29864958,Unakoti,Kumarghat,Machmara,Balanalchhara,Kanchancherra,2020,14.07,162.93,256.96,152.21,586.17
Village Council,Hakwithang,576.583984284,Khowai,Khowai,Padmabil,Belcharra,Ratanpur,2020,13.13,87.45,157.51,104.21,362.3
Village Council,Masrai Para,372.279016229,West Tripura,Mohanpur,Subalsing,Ramsankarpara,Ramsankar,2020,3.08,34.47,97.84,80.83,216.22
Village Council,Dhananjoy Para,247.51459111,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,3.69,56.27,66.37,21.87,148.2
Village Council,Panbagan,1459.95056832,Unakoti,Kumarghat,Machmara,Balanalchhara,Deo R.F,2020,12.36,156.66,306.58,271.03,746.63
Village Council,Dalam Para,376.128442158,Unakoti,Kumarghat,Machmara,Krishnatilla,Kanchancherra,2020,1.27,47.72,87.79,60.17,196.95
Village Council,Khabaksa,939.012361063,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2020,6.25,32.83,49.66,413.41,502.15
Village Council,Sanduk Hamkrai,1057.84312755,Khowai,Khowai,Padmabil,Belcharra,West Belcherra,2020,68.51,383.05,313.06,60.68,825.3
Village Council,Bolong Swnamnai,757.227566031,Khowai,Khowai,Tulashikhar,Gopalnagar,Sikaribari,2020,15.61,99.66,82.69,266.1,464.06
Village Council,Yapribaksa,1663.53671959,Khowai,Khowai,Tulashikhar,Gopalnagar,West Champacherra,2020,113.95,401.37,371.38,386.23,1272.93
Village Council,Salkwtal,349.984821406,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2020,10.96,75.16,110.42,43.06,239.6
Village Council,Dangarai Para,492.305698765,Unakoti,Kumarghat,Machmara,Krishnatilla,South Machmara,2020,6.06,72.71,101.86,92.2,272.83
Village Council,Joymoni Para,1107.736577,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,127.45,332.52,192.05,73.55,725.57
Village Council,G.C. Para,261.194369125,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2020,0.64,11.5,50.31,82.57,145.02
Village Council,Bagabil,596.240305194,Khowai,Khowai,Padmabil,Belcharra,Bagabil,2020,7.24,76.46,162.64,113.8,360.14
Village Council,Lamphunuknai,320.574189921,Khowai,Khowai,Tulashikhar,Champahour,West Bachaibari,2020,8.62,55.5,72.5,106.01,242.63
Village Council,Purba Simna,570.246187474,West Tripura,Mohanpur,Subalsing,Simna,East Simna,2020,10.85,73.1,160.04,108.15,352.14
Village Council,Sakya Adam,635.150082664,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,7.06,185.42,144.22,38.16,374.86
Village Council,Singharam Para,472.217903328,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,33.7,196.73,72.07,21.33,323.83
Village Council,Maharaja Bir Bikram,301.40933774,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2020,9.11,45.42,35.34,94.11,183.98
Village Council,Rosomala Debbarma,1151.07275578,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2020,0.69,30.17,132.99,418.62,582.47
Village Council,Ramdula,927.132969742,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,2020,147.59,225.61,111.81,84.49,569.5
Village Council,Chandrakha,700.421516349,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2020,5.86,73.71,133.06,164.93,377.56
Village Council,Rangchak Balong,1303.40048878,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,2020,37.62,220.4,217.39,260.92,736.33
Village Council,Chong Chong,312.830332951,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,2020,12.76,53.06,56.91,60.82,183.55
Village Council,Sadhu Chandra Para,1576.61132203,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2020,19.28,136.32,264.19,408.52,828.31
Village Council,Bidyabil,724.51563372,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,2020,40.23,204.82,182.03,162.36,589.44
Village Council,Agarchandra Debbarma,921.805135517,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,2020,44.39,248.24,278.9,215.02,786.55
Village Council,Bhudha Valley,926.379673528,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2020,32.62,137.65,160.67,212.96,543.9
Village Council,Kamalapur,527.282722812,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2020,28.89,155.45,127.7,47.74,359.78
Village Council,Egattor,359.81179785,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,2020,10.77,76.98,90.87,31.85,210.47
Village Council,Udandi,683.290242525,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2020,69.53,218.1,134.12,48.57,470.32
Gram Panchayet,Sabujbanani,2352.47944122,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,2020,169.88,610.57,456.41,196.48,1433.34
Village Council,Baghaicherra,162.066321456,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,2020,1.62,20.1,43.54,24.1,89.36
Village Council,Greengold,323.911678302,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2020,9.18,34.71,52.87,61.24,158.0
Village Council,Banabithi,415.124783572,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,2020,33.28,68.09,72.5,69.38,243.25
Village Council,Khakchang,938.178997026,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,2020,46.36,185.07,184.79,124.15,540.37
Village Council,Ujan Baghaicherra,513.028385959,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,2020,31.27,122.52,119.57,59.71,333.07
Village Council,Sonarampara,368.807355837,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2020,11.45,71.45,87.76,51.19,221.85
Village Council,Kelthang Twisa,574.141475934,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,2020,26.13,118.55,103.96,74.98,323.62
Gram Panchayet,Banasree,718.555953152,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,2020,116.82,211.44,97.39,75.06,500.71
Village Council,Banaraj,850.922508223,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2020,11.18,83.82,157.76,158.83,411.59
Village Council,Sundarvan,668.296162471,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2020,31.53,63.7,108.43,139.91,343.57
Village Council,Gobindabari,1253.15229228,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2020,83.93,327.71,281.34,132.14,825.12
Village Council,Judamonipara,1356.32444637,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2020,16.62,213.68,231.17,303.0,764.47
Village Council,Bru-Kami,333.99113139,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,2020,2.96,25.37,55.01,91.9,175.24
Village Council,Greenland,596.381103532,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2020,7.12,48.66,98.35,169.64,323.77
Village Council,Rachiline,713.299101114,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2020,38.98,163.19,126.52,67.75,396.44
Gram Panchayet,Kalagang,261.370190606,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,2020,20.41,84.92,61.49,18.58,185.4
Village Council,Mundaline,822.766094207,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2020,47.9,226.7,181.39,56.37,512.36
Village Council,Phaiko,429.562075015,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2020,9.53,54.31,83.87,114.35,262.06
Village Council,Seba Ch. Para,1317.22181754,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,2020,42.09,239.91,281.76,148.67,712.43
Village Council,Tailenbari,600.347652103,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2020,6.62,47.57,88.38,192.69,335.26
Gram Panchayet,Moracherra,1034.8839988,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,2020,23.52,129.86,178.12,200.91,532.41
NP,C.H Para JFMC,816.793510299,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,2020,145.79,297.17,120.48,37.67,601.11
Village Council,Seisimdung,651.309870243,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2020,9.89,65.66,134.41,190.34,400.3
Gram Panchayet,Buthuhill,1078.55463233,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,2020,136.89,172.52,148.42,165.19,623.02
Gram Panchayet,West Bilthai,353.460086493,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,2020,44.05,121.19,48.97,7.15,221.36
Village Council,Saitha,609.802099703,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2020,14.01,72.0,123.83,168.31,378.15
Gram Panchayet,Shyamprasad Mukherjee,516.930446799,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,2020,72.71,207.53,82.01,15.33,377.58
Gram Panchayet,Puspamanipara,615.20214621,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,2020,94.21,215.43,92.81,39.08,441.53
Gram Panchayet,Kami Humkarai,490.434373141,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2020,12.74,66.5,92.37,68.49,240.1
Village Council,Shivbari,982.857221167,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2020,13.87,95.58,164.93,278.73,553.11
Gram Panchayet,Phaikakham,516.631324173,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2020,5.38,54.43,106.35,112.35,278.51
Village Council,Mannei,984.501448573,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,2020,6.2,108.3,240.13,214.49,569.12
Village Council,Reang Para,299.708030642,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2020,16.03,61.98,61.33,37.94,177.28
Village Council,Eden Rahuan,440.036857768,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2020,2.85,49.89,104.28,86.04,243.06
Gram Panchayet,Lumbockcherra,311.966248994,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2020,14.59,48.84,50.1,78.47,192.0
Village Council,Balidhum,472.637343349,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2020,3.7,41.5,87.14,141.22,273.56
Village Council,Tivalian,421.476606519,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2020,9.7,56.11,93.57,75.52,234.9
Village Council,Bireshpara,463.313933223,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2020,18.17,76.57,94.78,67.75,257.27
Gram Panchayet,Parasen,574.881276116,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2020,77.36,167.82,82.03,65.0,392.21
Village Council,Baithangbari,639.104807769,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2020,20.72,111.13,130.65,90.26,352.76
Gram Panchayet,Balicherra,865.121270544,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,2020,136.96,152.07,128.3,112.87,530.2
Village Council,Nabajiban,959.020093319,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,2020,26.6,130.05,184.56,135.65,476.86
Gram Panchayet,Banaphul,557.619881209,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,2020,126.94,159.94,66.73,22.94,376.55
Gram Panchayet,Alochaya,420.228033664,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,2020,75.77,146.52,59.32,33.2,314.81
Village Council,Pathaliaghat,389.319749357,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2020,62.48,255.92,18.74,0.87,338.01
Village Council,Chelakappa,732.941296755,Gomati,Karbook,Silachari,Bagachatal,Kaptali,2020,40.58,128.68,128.91,128.73,426.9
Village Council,Kaptali,944.220080858,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2020,4.11,47.44,134.21,283.65,469.41
Village Council,Pothachari,468.669364559,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2020,35.88,99.96,91.99,62.57,290.4
Village Council,Deshram khamar Para,357.218753893,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2020,3.04,27.76,50.44,109.94,191.18
Village Council,Nabachandra Para,879.662803971,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2020,3.92,65.45,142.9,235.68,447.95
Village Council,Annabandhu Para,972.737780041,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,2020,37.78,157.32,179.18,187.84,562.12
Village Council,New Gunjalima,870.622779731,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,2020,5.04,64.7,139.35,219.01,428.1
Village Council,Meghabarna Para,775.524081481,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2020,3.61,50.26,129.14,202.5,385.51
Village Council,Hazachari,322.078744501,Gomati,Karbook,Silachari,Suknachari,Hajachari,2020,5.4,14.91,39.46,101.97,161.74
Village Council,Larong,1085.77305712,Gomati,Karbook,Silachari,Suknachari,Hajachari,2020,135.33,235.14,157.04,137.61,665.12
Village Council,Silaguha,579.501152069,Gomati,Karbook,Silachari,Silachari,Silachari,2020,84.94,109.34,72.95,84.43,351.66
Village Council,Barbil,565.740264459,Gomati,Karbook,Silachari,Ailmara,Barabil,2020,21.76,52.86,80.88,156.17,311.67
Village Council,Wasna,634.235678852,Gomati,Karbook,Silachari,Ailmara,Barabil,2020,141.96,203.09,69.03,16.9,430.98
Village Council,Aloran,399.439056438,Gomati,Karbook,Silachari,Ailmara,Ailmara,2020,8.92,52.43,72.44,83.29,217.08
Village Council,Chakma Augmuli,472.847394973,Gomati,Karbook,Silachari,Ailmara,Ailmara,2020,113.92,147.92,48.7,13.75,324.29
Village Council,Patichari,658.245339144,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2020,75.93,166.45,104.95,68.01,415.34
Village Council,Bolong Naithok,1229.44598757,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2020,83.82,272.63,217.72,174.59,748.76
Village Council,Nabajagaran,404.626922003,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,2020,32.0,137.57,83.08,21.63,274.28
Village Council,Pilonjoy Para,995.858857635,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,2020,85.19,323.6,207.61,53.46,669.86
Village Council,Khumpui,669.071187762,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2020,7.98,73.61,114.98,206.54,403.11
Village Council,Debi chari,1005.52202026,Gomati,Karbook,Karbook,Jalaya Bazar,East Karbook,2020,65.25,174.58,155.84,181.73,577.4
Village Council,Jangidas Para,838.188824963,Gomati,Karbook,Karbook,Bairagidokan,Jenta Twisa,2020,85.87,221.83,180.58,58.51,546.79
Village Council,Durparai Para,680.370956196,Gomati,Karbook,Karbook,Bairagidokan,South Ekchari,2020,31.57,131.3,124.53,172.69,460.09
Village Council,Yaprikwtal,1241.59939355,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2020,5.56,46.78,116.71,517.36,686.41
Village Council,Twibaglai,1567.12188859,Gomati,Karbook,Tirthamukh,Tirthamukh,East Manikya Dewan,2020,9.12,91.02,257.14,457.85,815.13
Village Council,Sabuj banani,364.794298751,Gomati,Karbook,Karbook,Jatanbari,West Ekchari,2020,16.02,46.4,60.17,113.15,235.74
Village Council,Jugendra Para,1243.7821286,Gomati,Karbook,Karbook,Bairagidokan,East Manikya Dewan,2020,80.13,287.64,228.37,138.42,734.56
Village Council,Hamkrai,781.155490209,Gomati,Karbook,Karbook,Lowgang,Lowgang,2020,14.56,83.63,92.18,290.43,480.8
Village Council,Satarai Uchoipara,264.794803307,Gomati,Karbook,Karbook,Lowgang,South Chellagang,2020,8.39,28.66,30.73,98.59,166.37
Village Council,Mandirghat Para,449.738683188,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2020,24.38,47.33,81.63,112.63,265.97
Village Council,Rasnadhan Para,713.896619349,Gomati,Amarpur,Tirthamukh,Mandirghat,New Gomati,2020,5.51,62.34,158.67,196.22,422.74
Village Council,Santipara,640.040727478,Gomati,Karbook,Karbook,Jatanbari,Jatanbari,2020,42.78,138.67,126.79,92.75,400.99
,Baiddya Charri,436.907328333,Gomati,Amarpur,Tirthamukh,Tirthamukh,,2020,16.8,66.79,81.18,74.57,239.34
Village Council,Aaranga,796.82644337,Gomati,Amarpur,Tirthamukh,Tirthamukh,New Gomati,2020,8.34,63.33,144.38,236.12,452.17
Village Council,Swapner Sabuj,750.528621489,Gomati,Karbook,Karbook,Jatanbari,North Ekchari,2020,101.22,178.92,148.55,111.85,540.54
Village Council,Labarai Para,1034.00651863,Gomati,Amarpur,Amarpur,Nutanbazar,North Chellagang,2020,116.24,188.76,208.38,229.89,743.27
Village Council,Raishyabari Nokthai,251.929846122,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Narikal Kunja,2020,31.48,79.52,57.49,27.28,195.77
Village Council,Swam Twisa,692.711664764,Gomati,Amarpur,Tirthamukh,Tirthamukh,Natunbazar,2020,16.56,66.79,129.21,177.13,389.69
Village Council,Purba Potacherra,622.171687565,Dhalai,Gandacherra,Gonda Twisa,Potacherra,East Potacherra,2020,32.33,119.0,110.07,94.72,356.12
Village Council,Bhomracherra,948.295548142,Gomati,Amarpur,Amarpur,Nutanbazar,Natunbazar,2020,87.04,193.99,141.82,193.11,615.96
Village Council,Khasmai,790.349335796,Gomati,Amarpur,Amarpur,Kalajhari,Natunbazar,2020,22.84,60.67,135.67,220.68,439.86
Village Council,Indrakishore,495.296124101,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raishyabari,2020,68.24,145.94,84.61,31.23,330.02
Village Council,Chaplling Cherra,614.919744566,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2020,28.48,41.27,76.29,163.79,309.83
Village Council,Khedarnal,929.865058788,Gomati,Amarpur,Amarpur,Nutanbazar,Kedarnal,2020,28.32,141.57,142.23,287.25,599.37
Village Council,Madhanjoy,345.175100157,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2020,11.27,49.41,43.93,71.03,175.64
Village Council,Khapang Bodol,368.652992866,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Raima,2020,1.41,22.12,67.36,93.35,184.24
Village Council,Paschim Potacherra,1426.00641418,Dhalai,Gandacherra,Gonda Twisa,Potacherra,West Potacherra,2020,144.79,239.92,89.07,72.78,546.56
Village Council,Purba Duluma,1590.26118375,Gomati,Amarpur,Amarpur,Nutanbazar,East Duluma,2020,42.43,220.06,269.09,489.61,1021.19
Village Council,Lebacharamukh,1732.47861938,Gomati,Amarpur,Amarpur,Nutanbazar,Bhomracherra,2020,13.3,79.64,180.47,751.15,1024.56
Village Council,Banbihar EDC,264.442571481,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2020,43.3,41.65,13.64,39.87,138.46
Gram Panchayet,Khakchang,805.035194515,Gomati,Amarpur,Amarpur,Amarpur,Rangkang,2020,36.53,105.69,153.31,272.6,568.13
Village Council,Khetradhan Rouwaja Para,2219.57594013,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2020,256.96,647.77,298.09,255.39,1458.21
Village Council,Chanduk Twisa,465.570551126,Gomati,Amarpur,Amarpur,Dalak,Dalak,2020,51.74,166.74,76.01,55.31,349.8
Village Council,South Narikel Kunja,940.544937428,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2020,125.12,181.29,103.65,140.79,550.85
Village Council,Chandidas,792.823624669,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,2020,92.27,198.98,132.5,139.49,563.24
Village Council,Sarbajoy Para,2683.29822529,Gomati,Amarpur,Amarpur,Dalak,Paharpur,2020,78.62,363.49,464.71,734.75,1641.57
Village Council,Tawbera,757.583353185,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,2020,45.25,271.28,109.02,128.29,553.84
Village Council,North Narikel Kunja,766.144163399,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2020,50.49,210.06,140.48,110.27,511.3
Gram Panchayet,Tausiha Moin RF,516.12608214,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,2020,38.44,243.41,67.2,5.83,354.88
Village Council,Bowalkhali,3428.00817464,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bawalkhali,2020,66.61,367.57,613.14,717.88,1765.2
Gram Panchayet,Khabaha,1060.71866482,Gomati,Amarpur,Amarpur,Amarpur,Thakchara,2020,252.64,437.76,89.85,27.69,807.94
Village Council,Thakurcherra,1290.20871695,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2020,106.18,271.81,209.74,180.05,767.78
Village Council,Jharikusum,390.197645024,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,2020,28.72,98.38,79.7,61.22,268.02
Village Council,Samal Twisa,3075.03492394,Gomati,Amarpur,Amarpur,Kalajhari,East Malbasa,2020,59.94,570.34,781.13,491.3,1902.71
Gram Panchayet,Newlife,404.453588489,Gomati,Amarpur,Killa,Nitya Bazar,Debbari,2020,19.25,94.42,95.31,44.32,253.3
Village Council,Tuichakma,1369.39587677,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2020,90.58,245.74,237.29,195.81,769.42
Village Council,Sangranma EDC,564.976198781,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Ramnagar,2020,27.78,137.05,140.97,84.35,390.15
Village Council,Beledi EDC,1637.86754538,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2020,189.97,623.83,241.97,228.87,1284.64
Village Council,Kamalai,446.579247994,Gomati,Amarpur,Ampi,Chechua,Lalgiri,2020,19.49,143.01,87.71,23.77,273.98
Village Council,Bankarai Para,1537.91756356,Gomati,Amarpur,Amarpur,Bampur,Gungia,2020,35.88,248.78,354.87,392.96,1032.49
Village Council,Sukmohan JFMC (e Beat),1533.31558346,Gomati,Udaipur,Killa,Nitya Bazar,Dewanbari,2020,67.25,537.39,418.89,84.36,1107.89
