GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Village Council,Kanankta Para,1994.00771791,Dhalai,Gandacherra,Gonda Twisa,Gonda Twisa,Uttar Gandacherra,2023,0.0,72.14,92.13,157.78,55.97,208.98,158.02,197.33,363.35,335.62,103.55,75.95,140.58,32.86,1994.26
Village Council,Longdhor,529.550897599,Gomati,Udaipur,Killa,Khupilong,Bagma,2023,0.0,3.23,6.1,34.64,2.89,62.49,19.83,19.48,134.04,44.22,45.82,26.79,103.41,26.67,529.61
Village Council,Ha Khamber,1676.57092761,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Kalyansing,2023,0.0,92.64,118.01,123.23,79.84,185.32,181.27,226.67,213.09,296.15,44.14,42.98,58.25,14.94,1676.53
Village Council,Tangpaiya,4038.91704244,Gomati,Amarpur,Ampi,Ekjamchara,Ekjancherra,2023,0.0,616.2,424.61,228.1,527.98,231.87,229.56,334.49,369.93,376.56,227.14,103.8,207.11,161.24,4038.59
Village Council,Serthum,588.342322225,Gomati,Amarpur,Ampi,Ampi,North Sangang,2023,0.0,72.77,51.73,42.97,62.59,26.15,49.35,56.57,85.14,51.98,28.51,11.3,22.13,27.0,588.19
Village Council,Jari Milre EDC,479.129054769,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,2023,0.0,21.6,19.67,33.65,13.85,34.92,25.2,52.15,103.46,70.58,43.78,20.84,23.56,15.88,479.14
Village Council,Karna kishore,843.573821707,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Bhagirath,2023,0.0,38.64,45.54,58.77,28.23,88.58,83.65,109.49,184.52,136.64,22.35,20.07,21.67,5.5,843.65
Village Council,Kunarampara,431.406134638,Gomati,Amarpur,Ampi,Ekjamchara,Melchi,2023,0.0,17.98,13.19,28.38,9.26,47.12,27.22,39.64,86.93,49.65,43.25,22.48,28.31,18.05,431.46
Village Council,Temtui Kami,1542.28926988,Gomati,Amarpur,Ampi,Ampi,Chechua,2023,0.0,51.24,38.78,90.33,24.8,137.3,64.24,105.3,341.19,133.34,162.81,135.61,157.81,99.47,1542.22
Village Council,Mohannya Para,830.55952729,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Bhagirath,2023,0.0,45.29,55.77,63.88,33.38,42.41,86.33,103.38,240.07,98.18,26.21,10.98,13.77,11.05,830.7
Village Council,Manthar,2448.32327165,Gomati,Udaipur,Killa,Killa,North Brajendra Nagar,2023,0.0,225.77,153.61,178.55,190.12,127.43,177.38,213.63,439.16,199.73,161.63,104.49,157.81,118.85,2448.16
Village Council,Hojagiri,236.027566788,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Chitrajhari,2023,0.0,20.06,19.96,16.81,15.05,19.84,20.72,29.65,39.77,28.71,8.44,4.45,8.58,3.87,235.91
Village Council,New Boncher,741.980581738,Gomati,Amarpur,Ampi,Ampi,Baishyamani,2023,0.0,122.17,69.76,50.94,77.63,10.09,72.69,84.37,136.06,48.87,26.59,4.19,7.89,30.8,742.05
Village Council,Atharamura,878.17251714,Gomati,Amarpur,Ampi,Ekjanchara,Gamaicherra,2023,0.0,83.12,60.87,59.06,71.43,81.2,67.49,69.72,109.99,79.88,57.29,43.58,64.44,30.42,878.49
Village Council,Lailak,1955.89556295,Gomati,Udaipur,Killa,T.C Bari,North Baramura,2023,0.0,345.76,215.43,120.25,328.23,40.77,158.27,207.18,274.49,121.55,51.29,12.41,35.17,45.0,1955.8
Village Council,Nelsi,572.938042447,Gomati,Amarpur,Ampi,Ampi,Ompinagar,2023,0.0,15.02,11.02,30.83,7.68,56.75,17.45,30.1,64.7,37.99,82.92,57.14,94.4,66.98,572.98
Village Council,Dalirai EDC,629.211105796,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Jagabandhupara,2023,0.0,39.38,35.22,55.17,37.33,51.49,90.38,70.56,101.19,76.25,28.26,13.0,20.2,10.7,629.13
Village Council,20 Kilo,1421.68418844,Gomati,Amarpur,Ampi,Dhanlekha,Gamaicherra,2023,0.0,292.18,200.14,79.22,219.23,44.03,68.67,111.91,98.36,146.66,56.51,15.93,52.23,36.62,1421.69
Village Council,Balong Hamkrai Bodal EDC,838.229304652,Dhalai,Gandacherra,Gonda Twisa,Jagabandhupara,Jagabandhupara,2023,0.0,48.41,43.74,62.0,43.46,77.21,56.07,92.22,116.23,121.8,62.91,39.68,46.93,27.51,838.17
Village Council,Girachandra Para JFMC,1164.76782806,Dhalai,Gandacherra,Gonda Twisa,Hatimatha,Bhagirath,2023,0.0,48.57,84.46,90.67,54.57,93.55,202.17,157.41,176.35,168.82,27.39,21.24,31.21,8.15,1164.56
Village Council,Nabakumar Para,706.868391588,Dhalai,Ambassa,Gonda Twisa,Bhagirath Para,Siddha Para,2023,0.0,29.86,42.26,49.37,29.51,71.37,98.31,103.75,119.62,102.02,18.04,20.11,17.33,5.28,706.83
Village Council,Salka,1142.3686874,Gomati,Amarpur,Amarpur,Sarbong,Haripur,2023,0.0,73.77,51.64,71.31,48.8,91.22,86.28,104.97,193.06,99.29,89.91,66.79,95.75,69.78,1142.57
Village Council,Lungthang,1176.68077564,Gomati,Amarpur,Ampi,Dhanlekha,Toidudhepa,2023,0.0,114.22,70.23,73.43,80.17,60.75,66.1,112.74,209.83,98.75,99.14,56.76,75.69,58.97,1176.78
Village Council,Ruhida & Rajaram,1001.25996196,Gomati,Amarpur,Ampi,Chankhala,East Taichalong,2023,0.0,114.44,72.89,68.69,97.98,52.61,83.44,112.02,146.72,94.19,53.63,32.02,43.93,28.53,1001.09
Village Council,Agachaimarua,1831.60294938,Gomati,Udaipur,Killa,T.C Bari,North Baramura,2023,0.0,330.22,192.22,117.86,322.62,26.76,151.14,199.29,257.08,115.16,50.51,9.09,29.26,30.48,1831.69
Village Council,Punlonga,518.544435583,Gomati,Amarpur,Ampi,Taidu,Taidu,2023,0.0,19.65,13.79,33.33,7.34,34.9,18.36,34.71,117.86,36.57,62.44,26.24,48.99,64.34,518.52
Village Council,Ramthwk,596.327238508,Gomati,Amarpur,Ampi,Chankhala,West Taichhlong,2023,0.0,40.43,20.81,39.68,18.12,32.19,30.68,51.76,120.78,46.96,59.78,47.39,42.45,45.04,596.07
Village Council,Athukrai,317.868260926,Dhalai,Ambassa,Ganganagar,Ganganagar,Radharambari,2023,0.0,15.21,27.69,25.25,14.42,22.69,46.32,32.47,56.86,44.64,11.67,4.8,11.85,4.09,317.96
Village Council,Yakbaksa,788.462383816,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,2023,0.0,26.51,62.47,67.56,28.62,57.61,141.92,90.08,145.25,101.67,21.83,14.65,21.86,8.35,788.38
Village Council,Harung Para,1368.11003648,Gomati,Amarpur,Ampi,Chankhala,Jambukcherra,2023,0.0,94.91,55.57,90.97,63.02,105.4,63.44,105.68,205.94,126.38,133.02,104.35,137.03,82.66,1368.37
Village Council,Y-Ghati,1635.05976157,Gomati,Amarpur,Killa,T.C Bari,Palku,2023,0.0,237.44,145.19,98.06,190.79,51.8,93.19,176.25,279.71,136.75,90.59,27.2,65.01,43.05,1635.03
Village Council,Batapara,3745.07682631,Gomati,Amarpur,Ampi,Chankhala,Ompicherra,2023,0.0,678.94,459.75,203.11,609.86,169.82,182.8,323.0,293.7,332.31,165.89,61.85,156.64,107.37,3745.04
Village Council,Sisathai,514.241629853,Dhalai,Ambassa,Ganganagar,Karnamanipara,Ganganagar,2023,0.0,30.77,56.52,44.58,33.74,19.4,90.89,65.05,92.66,53.35,11.84,3.03,6.03,6.36,514.22
Village Council,Lungfung,1881.54096483,Gomati,Amarpur,Ampi,Taidu,North Toidu,2023,0.0,107.29,66.14,127.12,45.56,103.01,107.36,171.22,424.01,157.0,195.13,51.23,135.98,190.5,1881.55
Village Council,Nithok,652.387964658,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,2023,0.0,21.52,37.2,50.22,17.89,80.4,61.52,54.97,103.92,97.52,32.93,19.18,62.29,13.04,652.6
Village Council,Salpaha,1158.13871714,Dhalai,Ambassa,Ganganagar,Karmapara,Karma Para,2023,0.0,97.99,78.53,79.45,76.96,46.33,160.23,155.95,258.42,104.49,39.46,9.78,30.58,20.06,1158.23
Village Council,Karasmai,1421.65324712,Dhalai,Ambassa,Ganganagar,Ganganagar,Ganganagar,2023,0.0,104.76,96.52,97.6,90.17,66.88,172.57,176.11,328.16,140.92,54.89,17.26,46.9,28.56,1421.3
Village Council,Tongthai,2842.31808744,Dhalai,Ambassa,Ganganagar,Karnamanipara,Tetaiya,2023,0.0,103.19,223.93,268.25,143.79,145.03,773.83,308.54,402.66,331.62,55.62,30.19,36.45,19.26,2842.36
Village Council,Khumber,1493.3623,Dhalai,Ambassa,Gonda Twisa,Ganganagar,Karanmani Para,2023,0.0,72.47,146.08,127.86,83.86,63.42,284.72,177.15,299.06,167.1,29.65,12.93,16.28,12.83,1493.41
Village Council,Chaskhang,1573.75377408,Dhalai,Ambassa,Ganganagar,Karnamanipara,Gurudhan Para,2023,0.0,64.09,120.49,126.78,62.76,127.69,274.51,181.85,291.77,203.88,38.66,21.03,47.14,12.96,1573.61
Village Council,Tuiyari,1186.53377723,Dhalai,Ambassa,Ganganagar,Karnamanipara,Gurudhan Para,2023,0.0,135.52,193.15,78.51,116.21,63.75,157.68,123.99,124.81,129.88,21.71,8.61,21.32,11.63,1186.77
Village Council,Hamiyakma,1139.69679265,Dhalai,Ambassa,Ganganagar,Karmapara,Karma Para,2023,0.0,93.23,90.16,81.48,84.33,51.36,143.52,146.9,209.78,115.33,41.28,10.57,33.86,37.94,1139.74
Village Council,LamKaham,1467.63399723,Dhalai,Ambassa,Ganganagar,Karnamanipara,Karanmani Para,2023,0.0,81.69,80.89,116.2,69.65,138.13,231.14,150.66,238.02,162.58,56.13,32.29,71.7,38.43,1467.51
Village Council,Khasrang,1895.74790361,Dhalai,Ambassa,Ganganagar,Karnamanipara,Karanmani Para,2023,0.0,164.48,96.65,224.01,109.54,46.12,385.85,218.15,416.0,129.68,43.1,12.13,26.19,23.81,1895.71
Gram Panchayet,Balipara,51.3958995764,South Tripura,Sabroom,Satchand,Betaga,Indiranagar,2024,0.0,0.06,0.03,1.38,0.03,15.75,0.2,0.51,2.61,1.53,6.55,6.96,11.93,3.96,51.5
Gram Panchayet,Nathurampara,404.819844884,South Tripura,Sabroom,Srinagar,Amlighat,Amlighat,2024,0.0,2.8,3.69,14.71,0.92,91.54,5.02,4.58,19.71,16.45,33.8,68.5,115.82,27.27,404.81
Village Council,Herbatali,906.827718162,South Tripura,Belonia,Satchand,Betaga,Harbatali,2024,0.0,11.96,14.92,58.22,9.01,156.01,30.94,23.38,96.15,91.49,80.21,74.58,150.85,109.21,906.93
Village Council,Bhangamura,1082.58244613,South Tripura,Belonia,Srinagar,Amlighat,Harbatali,2024,0.0,41.03,78.42,92.84,57.29,99.03,166.06,67.53,89.46,161.4,63.94,41.91,73.64,50.25,1082.8
Village Council,Mandalipara,376.43932684,South Tripura,Sabroom,Satchand,Betaga,Ratanmani,2024,0.0,4.39,10.01,27.08,3.62,53.72,21.13,12.41,67.68,46.65,32.19,27.8,49.61,20.04,376.33
Gram Panchayet,Srinagar,484.922792835,South Tripura,Sabroom,Srinagar,Srinagar,Srinagar,2024,0.0,1.73,1.58,14.87,0.65,83.16,4.49,2.82,33.34,19.21,90.28,93.56,105.31,34.01,485.01
Village Council,Dulakchari,473.804181204,South Tripura,Sabroom,Srinagar,Amlighat,Ratanmani,2024,0.0,23.56,42.05,38.85,35.36,54.04,99.64,32.58,24.55,58.77,18.17,15.84,20.23,9.83,473.47
Gram Panchayet,Pongbari Kanalbari,440.919005037,South Tripura,Sabroom,Srinagar,Srinagar,Subashnagar,2024,0.0,2.95,2.72,11.86,0.7,77.52,7.66,4.13,39.77,27.01,92.43,83.58,35.92,54.67,440.92
Village Council,Khumchari,571.43460311,South Tripura,Sabroom,Srinagar,Srinagar,Dasharath Nagar,2024,0.0,18.66,33.78,40.97,19.37,87.32,48.73,29.14,35.56,72.42,53.0,37.0,70.26,25.28,571.49
Village Council,Uttar Betaga,909.238935141,South Tripura,Belonia,Satchand,Betaga,Betaga,2024,0.0,14.45,23.63,61.45,10.99,123.32,57.99,32.93,248.87,116.08,66.22,45.87,82.03,25.59,909.42
Village Council,South Baisnabpur,783.786813016,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2024,0.0,16.83,38.19,70.51,29.08,91.33,139.4,61.79,68.1,112.26,43.86,43.03,37.32,32.15,783.85
Village Council,Joy Sing Bari,1079.85474589,South Tripura,Sabroom,Srinagar,Shankartilla,West Takkatulshi,2024,0.0,48.24,89.23,100.32,79.6,79.92,266.51,71.47,61.12,155.36,47.41,24.29,35.91,20.72,1080.1
Village Council,Kaladhepa,371.514278694,South Tripura,Sabroom,Satchand,Manubazar,Kaladhepa,2024,0.0,3.43,5.24,15.27,2.4,35.83,20.26,6.39,109.38,25.18,50.06,41.97,35.61,20.35,371.37
Village Council,Dakshin Bijoypur,606.200783885,South Tripura,Sabroom,Bankul,Baisnabpur,East Ludhuya,2024,0.0,15.91,30.89,51.91,26.39,83.5,111.67,62.35,60.54,86.64,23.57,26.05,18.51,8.26,606.19
Village Council,Gagrabosti,720.781687775,South Tripura,Sabroom,Bankul,Baisnabpur,Baishnabpur,2024,0.0,23.07,42.68,49.24,38.7,120.17,89.19,36.78,31.32,82.5,40.51,67.16,47.75,51.85,720.92
Gram Panchayet,Madhupara,625.815532408,South Tripura,Sabroom,Srinagar,Shankartilla,Rajnagar,2024,0.0,32.94,71.38,40.32,73.89,34.19,114.29,45.7,37.74,77.21,32.4,23.09,26.21,16.6,625.96
Village Council,Phulchari,186.967252257,South Tripura,Sabroom,Satchand,Manubazar,North Kaladhepa,2024,0.0,1.86,3.47,9.9,1.61,21.35,24.49,7.94,34.39,16.46,19.16,24.39,13.33,8.78,187.13
Village Council,Ramchanpara,2353.09572343,South Tripura,Sabroom,Srinagar,Shankartilla,East Tekka Tulshi R.F,2024,0.0,99.85,186.44,191.43,160.48,173.16,536.7,161.12,182.1,308.48,119.02,75.83,91.5,66.69,2352.8
Village Council,Salka,1057.32737303,South Tripura,Sabroom,Bankul,Magroom,Magroom,2024,0.01,75.51,128.97,80.41,153.02,77.63,222.18,76.42,27.42,105.22,24.16,26.94,26.24,33.34,1057.47
Village Council,Mawchang,1020.3075696,South Tripura,Sabroom,Bankul,Magroom,East Sabroom,2024,0.0,65.55,104.87,80.31,125.08,115.44,203.99,79.36,38.98,108.49,22.69,35.0,30.61,9.69,1020.06
Gram Panchayet,Joypur,885.80361316,South Tripura,Belonia,Hrishyamukh,Nalua,Krishnanagar,2024,0.0,7.91,14.72,30.62,7.95,179.19,36.86,15.49,61.05,57.86,137.89,172.14,95.38,68.86,885.92
Village Council,Naya Bari,739.9747893,South Tripura,Belonia,Hrishyamukh,Nalua,Kailash Nagar,2024,0.0,42.72,76.61,53.3,77.67,40.32,158.67,53.09,52.66,97.13,35.87,15.29,17.58,19.41,740.32
Village Council,Lama Kahum,1077.67320808,South Tripura,Belonia,Hrishyamukh,Nalua,Kailash Nagar,2024,0.0,68.14,112.51,67.97,143.78,51.21,204.05,73.75,91.51,124.83,55.28,24.89,30.5,28.88,1077.3
Gram Panchayet,Krishnanagar,681.827080141,South Tripura,Belonia,Hrishyamukh,Nalua,Haripur,2024,0.0,7.65,11.77,23.06,6.88,130.93,21.44,11.46,51.14,41.06,114.71,121.71,79.6,60.34,681.75
Village Council,Manoranjanpara,776.811393393,South Tripura,Sabroom,Bankul,Magroom,East Sabroom,2024,0.0,49.73,96.23,60.86,102.23,64.14,163.22,65.14,27.42,91.97,15.85,16.76,16.89,6.44,776.88
Village Council,Brinda Kishore Roaja Para,1544.6498855,South Tripura,Sabroom,Bankul,Bankul,Bishnupur,2024,0.0,94.88,161.45,127.52,160.78,166.07,288.34,111.77,62.17,179.34,40.2,80.97,50.27,20.9,1544.66
Gram Panchayet,Malambari,941.44723087,South Tripura,Belonia,Hrishyamukh,Malambari,Hrishyamukh,2024,0.0,11.5,17.59,35.18,10.16,136.05,50.72,21.31,93.17,61.83,161.05,156.71,90.71,95.57,941.55
Village Council,Ananda Kumar,413.728472093,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,2024,0.0,5.7,10.07,16.58,4.75,29.02,71.87,29.32,65.22,34.69,54.67,48.1,21.69,22.0,413.68
Village Council,Chota Sakbari,347.640035295,South Tripura,Sabroom,Satchand,Bhuratali,Gardang,2024,0.0,4.41,8.96,19.51,5.47,28.3,63.58,24.13,55.62,34.17,38.69,31.16,22.22,11.52,347.74
Village Council,Maa Bankumai,1965.79397961,South Tripura,Belonia,Hrishyamukh,Hrishyamukh,Dhananjoy Nagar,2024,0.0,141.3,222.39,126.89,262.96,100.33,332.11,148.63,149.5,221.54,96.54,47.93,61.57,53.81,1965.5
Village Council,Chati,608.126203007,South Tripura,Sabroom,Satchand,Bhuratali,North Taichima,2024,0.0,15.68,37.53,46.38,19.41,51.47,123.03,39.16,90.85,66.23,45.07,26.67,26.53,20.09,608.1
Gram Panchayet,Bhatubari,1539.28003877,South Tripura,Belonia,Hrishyamukh,Motai,Debipur,2024,0.01,29.91,40.34,59.33,24.45,189.72,159.67,65.02,204.48,104.97,214.84,196.41,117.17,132.95,1539.27
Village Council,Khakaham,709.415068979,South Tripura,Belonia,Kakulia,Manirambari,Manirampur,2024,0.0,25.67,43.89,49.19,27.74,66.89,81.67,40.1,71.52,88.39,70.75,52.68,52.05,38.99,709.53
Village Council,South Hichachara,1035.42012358,South Tripura,Santirbazar,Kakulia,Abhanga,Ramraibari,2024,0.0,17.56,25.6,51.4,16.17,83.38,167.8,65.98,172.46,94.69,131.73,91.5,63.35,53.98,1035.6
Village Council,Thansha,687.607953157,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,2024,0.0,48.16,81.58,40.25,110.0,41.48,92.28,48.35,49.11,70.52,39.21,25.38,25.45,15.92,687.69
Village Council,Sachirambari,1705.56944018,South Tripura,Santirbazar,Kakulia,Abhanga,South Hichacherra,2024,0.0,27.31,52.67,102.84,36.93,200.06,282.52,107.13,228.86,237.67,204.33,91.73,78.77,54.49,1705.31
Village Council,Hakchal,775.586408288,South Tripura,Santirbazar,Kakulia,Srikantabari,Abangchara,2024,0.0,19.94,43.28,49.63,30.84,97.61,110.89,47.33,65.18,108.05,72.0,65.82,37.94,27.1,775.61
Gram Panchayet,Madhya Pilak,758.484846032,South Tripura,Santirbazar,Kakulia,Abhanga,South Jolaibari,2024,0.0,12.86,18.59,48.16,12.6,77.67,146.0,55.0,135.41,69.32,79.08,47.7,28.52,27.77,758.68
Village Council,Mohininagar,795.769978331,South Tripura,Belonia,Hrishyamukh,Motai,Mohini Nagar,2024,0.0,44.56,85.73,49.5,86.19,55.71,99.84,57.4,60.01,99.04,58.71,33.98,34.82,30.47,795.96
Gram Panchayet,Joykatpur,733.815354216,South Tripura,Belonia,Hrishyamukh,Motai,Baspadua,2024,0.0,5.96,10.61,25.28,3.54,97.94,34.54,15.61,115.66,70.0,137.32,85.4,62.31,69.7,733.87
Village Council,Khorangbaksha,1148.00517798,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,2024,0.0,24.56,42.53,63.94,24.21,167.18,100.76,47.71,115.09,109.72,133.77,123.93,111.0,83.55,1147.95
Village Council,Pohar,1602.85924483,South Tripura,Santirbazar,Kakulia,Srikantabari,Tuirbhuma Kowaifung,2024,0.0,110.92,150.6,137.87,181.98,119.92,388.66,126.33,76.43,174.91,42.87,30.55,36.35,25.54,1602.93
Gram Panchayet,Kathalia,1385.90510724,South Tripura,Santirbazar,Kakulia,Muhuripur,Muhuripur,2024,0.0,31.75,22.73,44.31,4.94,147.43,51.24,27.59,174.78,82.94,259.96,179.96,141.11,217.14,1385.88
Village Council,Ambuchai,592.837673005,South Tripura,Belonia,Hrishyamukh,Ratanpur,Ratanpur,2024,0.0,15.84,23.78,38.01,16.74,70.6,57.09,28.45,57.57,62.38,59.75,52.18,64.58,45.75,592.72
Gram Panchayet,Khunati,1442.23013254,South Tripura,Santirbazar,Kakulia,Kakulia,Muhuripur R.F.,2024,0.0,47.58,58.73,68.17,30.25,221.54,161.96,78.58,171.89,110.1,143.84,152.66,92.96,103.66,1441.92
Gram Panchayet,Kasta Kumar Para,1104.2153466,South Tripura,Santirbazar,Kakulia,Srikantabari,North Jolaibari,2024,0.0,26.78,53.91,79.69,37.8,113.74,208.69,64.75,138.17,128.91,88.35,63.82,50.98,48.97,1104.56
Gram Panchayet,Sakyamuni,752.264378597,South Tripura,Santirbazar,Kakulia,Kakulia,Latua Tilla,2024,0.0,12.04,15.45,28.73,4.88,50.98,48.16,27.42,159.12,64.2,138.5,75.2,53.98,73.73,752.39
Gram Panchayet,Gaburchara,341.116399955,South Tripura,Belonia,Hrishyamukh,Ratanpur,North Sarashima,2024,0.0,3.12,4.18,10.2,1.76,56.92,13.75,6.12,27.55,16.74,63.45,52.56,48.33,36.5,341.18
Village Council,Sanghati,893.876368877,South Tripura,Belonia,Hrishyamukh,Ratanpur,Gaburcherra,2024,0.0,18.19,32.2,52.48,15.57,82.36,80.14,38.04,115.53,86.2,112.22,91.86,83.99,85.11,893.89
Village Council,Khumthaima,615.063500273,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2024,0.0,26.84,44.18,44.66,56.76,43.16,134.22,48.09,54.11,76.45,34.25,19.3,17.12,15.69,614.83
Village Council,Twisawatalok,862.388207809,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,2024,0.0,25.74,37.65,52.59,37.85,79.68,158.68,55.02,158.87,94.04,55.96,48.19,34.0,23.88,862.15
Village Council,Vaktiram,422.330906142,South Tripura,Santirbazar,Bagafa,Laxmicherra,Baikhora,2024,0.0,18.07,30.12,26.68,32.26,21.91,92.87,33.33,72.56,40.43,21.4,10.62,11.27,10.96,422.48
Gram Panchayet,Swrangdi,1433.46054891,South Tripura,Belonia,Bagafa,Santirbazar,Gardhang,2024,0.0,17.73,28.68,65.69,15.07,166.12,68.34,36.99,167.58,110.46,220.13,238.12,175.2,123.38,1433.49
Village Council,Yakalam,1633.77252567,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2024,0.0,95.22,152.72,98.64,163.4,133.08,237.95,107.18,108.72,184.84,116.57,107.67,66.95,60.65,1633.59
,Raikalam,247.275454696,South Tripura,Santirbazar,Bagafa,Bagafa,,2024,0.0,11.41,20.4,15.68,16.34,14.89,49.56,15.43,33.34,31.32,17.04,6.83,7.69,7.47,247.4
Village Council,Laxmicherra,1842.4554739,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,2024,0.0,123.02,154.07,136.23,261.44,85.99,476.57,157.51,120.06,184.53,59.39,31.78,29.32,22.57,1842.48
Village Council,Pragati,402.764040818,South Tripura,Santirbazar,Bagafa,Santirbazar,Kathaliacherra,2024,0.0,13.98,25.27,18.16,7.72,28.43,46.06,14.41,91.43,34.38,57.19,20.63,23.71,21.52,402.89
Village Council,Rabithakur,658.744148845,Sepahijala,Sonamura,Kathalai,Kathalai,Manaipathar,2024,0.0,17.73,21.82,42.58,17.89,116.09,62.49,29.08,41.41,51.41,68.62,81.1,63.61,44.79,658.62
Village Council,Agragati,1325.87281894,South Tripura,Santirbazar,Bagafa,Bagafa,Madhya Kathalia,2024,0.0,93.59,140.92,85.21,160.08,75.06,190.16,90.02,90.27,154.89,91.92,49.44,56.24,48.32,1326.12
Gram Panchayet,Maitry,509.009811421,Sepahijala,Sonamura,Kathalai,Jatrapur,South Maheshpur,2024,0.0,10.45,16.96,23.1,11.07,67.85,39.91,25.37,49.71,35.83,73.36,66.82,48.82,39.71,508.96
Village Council,Twisawaklou,761.369388166,South Tripura,Santirbazar,Bagafa,Patichari,Rajapur,2024,0.0,8.09,14.78,40.2,6.21,68.56,67.99,24.97,182.99,61.7,88.59,94.39,68.96,33.94,761.37
Village Council,Taj,888.612506686,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2024,0.0,16.88,39.16,40.03,22.06,68.05,121.68,36.62,172.18,89.37,111.34,55.43,66.11,49.6,888.51
Village Council,Twichoma,408.782866957,South Tripura,Santirbazar,Bagafa,Bagafa,Kathaliacherra,2024,0.0,9.21,18.37,18.48,14.4,29.05,52.43,14.93,78.26,34.81,58.1,32.67,26.66,21.45,408.82
Village Council,Paribartan,1214.43749487,South Tripura,Belonia,Bagafa,Bagafa,Debipur,2024,0.0,124.77,151.0,74.24,249.21,26.65,211.43,87.13,72.47,115.61,40.83,19.79,16.43,24.84,1214.4
Gram Panchayet,Sanghati,999.114289477,Sepahijala,Sonamura,Kathalai,Kathalai,Kathalia,2024,0.0,17.47,30.77,57.65,20.14,160.88,81.27,44.27,94.88,89.55,115.18,92.15,124.84,70.03,999.08
Gram Panchayet,Banakalayan,560.090779087,Sepahijala,Sonamura,Kathalai,Masima,Nirvoypur,2024,0.0,3.65,5.7,18.28,1.38,71.06,21.97,18.99,68.08,26.81,89.62,94.21,96.62,43.72,560.09
Village Council,Kokbang Motha,438.549315413,South Tripura,Santirbazar,Bagafa,Devipur,Kathaliacherra,2024,0.0,20.36,34.16,28.29,22.38,27.34,47.31,30.86,68.11,50.86,44.37,24.89,25.12,14.64,438.69
Village Council,Valasa,776.451286667,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,2024,0.0,11.36,26.99,29.1,10.5,80.13,80.44,26.54,195.29,63.91,84.09,68.1,65.35,34.45,776.25
Gram Panchayet,MBBKM,502.520168767,Sepahijala,Sonamura,Kathalai,Masima,Jatrapur,2024,0.0,1.21,2.28,12.01,1.08,91.89,5.97,7.14,29.34,19.2,82.95,109.78,105.9,33.92,502.67
Village Council,Patichari,1377.00627167,South Tripura,Santirbazar,Bagafa,Patichari,Patichhari,2024,0.0,13.56,29.37,54.32,9.09,153.4,95.26,38.7,353.49,109.08,175.71,130.36,124.69,90.23,1377.26
Village Council,Kamihumkrai,1231.93858827,South Tripura,Santirbazar,Bagafa,Devipur,South Takmachara,2024,0.0,54.82,101.04,75.63,79.37,78.67,184.47,71.28,180.76,131.32,102.95,62.17,63.17,46.41,1232.06
Village Council,Takma,1823.70062033,South Tripura,Belonia,Bagafa,Manpathar,Takmacherra,2024,0.0,36.02,71.79,88.23,41.34,188.95,249.38,67.3,385.24,188.34,199.48,117.39,114.71,75.64,1823.81
Village Council,Yaprikta,1758.70186956,South Tripura,Belonia,Bagafa,Devipur,Debipur,2024,0.0,150.29,203.0,113.08,277.76,57.98,309.32,118.89,144.9,170.83,85.09,37.75,49.8,39.8,1758.49
Village Council,Sabujdeep,1349.79597252,Sepahijala,Sonamura,Kathalai,Jatrapur,Dasarath Bari,2024,0.0,20.07,23.88,95.61,16.38,95.04,58.95,66.29,456.19,153.77,135.84,66.47,100.62,60.75,1349.86
Village Council,Sonapur,477.951873531,Sepahijala,Sonamura,Kathalai,Dhanpur,Kalikhola,2024,0.0,1.95,4.57,29.84,2.07,71.89,15.76,12.95,100.99,31.05,39.42,38.33,108.84,20.21,477.87
,Janakalyan,488.747277659,Sepahijala,Sonamura,Melaghar,Kalakhet,,2024,0.0,0.66,1.05,25.68,0.89,38.16,2.35,6.26,125.32,16.55,63.73,29.2,132.76,46.09,488.7
